disease_id,name,alias
D009839,Oligomenorrhea,
D009845,Oligospermia,"Hypospermatogeneses#Hypospermatogenesis#Low Sperm Count#Low Sperm Counts#Oligoasthenoteratozoospermia#Oligoasthenoteratozoospermias#Oligozoospermia#Sperm Count, Low#Sperm Counts, Low"
D009846,Oliguria,
D009855,Onchocerciasis,
D009877,Endophthalmitis,"Endophthalmitides#Endophthalmitides, Infectious#Endophthalmitis, Infectious#Infectious Endophthalmitides#Infectious Endophthalmitis#Ophthalmia#Ophthalmias"
D009886,Ophthalmoplegia,"External Ophthalmoplegia#External Ophthalmoplegias#Internal Ophthalmoplegia#Internal Ophthalmoplegias#Oculomotor Paralysis#Ophthalmopareses#Ophthalmoparesis#Ophthalmoplegia, External#Ophthalmoplegia, Internal#Ophthalmoplegias#Ophthalmoplegias, External#Ophthalmoplegias, Internal#Paralysis, Oculomotor"
D009889,Opisthorchiasis,"Infection, Opisthorchis#Infection, Opisthorchis felineus#Infection, Opisthorchis viverrini#Infections, Opisthorchis#Infections, Opisthorchis felineus#Infections, Opisthorchis viverrini#Opisthorchiases#Opisthorchis felineus Infection#Opisthorchis felineus Infections#Opisthorchis Infection#Opisthorchis Infections#Opisthorchis viverrini Infection#Opisthorchis viverrini Infections"
D009894,Opportunistic Infections,"Infection, Opportunistic#Infections, Opportunistic#Opportunistic Infection"
D009896,Optic Atrophy,
D009901,Optic Nerve Diseases,"Cranial Nerve II Diseases#Cranial Nerve II Disorder#Disk Disorder, Optic#Disk Disorders, Optic#Foster Kennedy Syndrome#Foster-Kennedy Syndrome#Lesion, Neural-Optical#Lesions, Neural-Optical#Neural Optical Lesion#Neural-Optical Lesion#Neural-Optical Lesions#Neuropathies, Optic#Neuropathy, Optic#Optic Disk Disorder#Optic Disk Disorders#Optic Nerve Disease#Optic Neuropathies#Optic Neuropathy#Second Cranial Nerve Diseases#Syndrome, Foster-Kennedy"
D009902,Optic Neuritis,"Anterior Optic Neuritides#Anterior Optic Neuritis#Neuritides, Anterior Optic#Neuritides, Optic#Neuritides, Posterior Optic#Neuritides, Retrobulbar#Neuritis, Anterior Optic#Neuritis, Optic#Neuritis, Posterior Optic#Neuritis, Retrobulbar#Neuropapillitides#Neuropapillitis#Optic Neuritides#Optic Neuritides, Anterior#Optic Neuritides, Posterior#Optic Neuritis, Anterior#Optic Neuritis, Posterior#Posterior Optic Neuritides#Posterior Optic Neuritis#Retrobulbar Neuritides#Retrobulbar Neuritis"
D009914,Oral Submucous Fibrosis,"Fibroses, Oral Submucous#Fibrosis, Oral Submucous#Oral Submucous Fibroses#Submucous Fibroses, Oral#Submucous Fibrosis, Oral"
D009916,Orbital Diseases,"Disease, Orbital#Diseases, Orbital#Orbital Disease"
D009976,Orthomyxoviridae Infections,"Infection, Orthomyxoviridae#Infection, Orthomyxovirus#Infections, Orthomyxoviridae#Infections, Orthomyxovirus#Influenza, Swine#Orthomyxoviridae Infection#Orthomyxovirus Infection#Orthomyxovirus Infections#Swine Influenza"
D009999,"Ossification, Heterotopic","Ectopic Ossification#Heterotopic Ossification#Ossification, Ectopic#Ossification, Pathologic#Ossification, Pathological#Pathological Ossification#Pathologic Ossification"
D010000,Osteitis,"Bone Inflammation#Inflammation, Bone"
D010001,Osteitis Deformans,"Osseous Paget's Disease#Paget Disease, Bone#Paget Disease of Bone#PAGET DISEASE OF BONE 2, EARLY-ONSET#PAGET DISEASE OF BONE 3#PAGET DISEASE OF BONE 6#Pagets Disease, Bone#Paget's Disease of Bone#PDB2#PDB3#PDB6"
D010003,Osteoarthritis,"Arthritides, Degenerative#Arthritis, Degenerative#Degenerative Arthritides#Degenerative Arthritis#DIPOA#GOA1#HAND OSTEOARTHRITIS;HOA  HEBERDEN NODES, INCLUDED#OA#OADIP#OS1#OS2#OS3#OS4#OS5#OS6#Osteoarthritides#OSTEOARTHRITIS, GENERALIZED, WITHOUT DYSPLASIA#OSTEOARTHRITIS OF DISTAL INTERPHALANGEAL JOINTS#OSTEOARTHRITIS OF HIP#OSTEOARTHRITIS OF HIP, FEMALE-SPECIFIC, SUSCEPTIBILITY TO#OSTEOARTHRITIS OF KNEE#OSTEOARTHRITIS OF KNEE/HIP#OSTEOARTHRITIS SUSCEPTIBILITY 1#OSTEOARTHRITIS SUSCEPTIBILITY 2#OSTEOARTHRITIS SUSCEPTIBILITY 3#OSTEOARTHRITIS SUSCEPTIBILITY 4#OSTEOARTHRITIS SUSCEPTIBILITY 5#OSTEOARTHRITIS SUSCEPTIBILITY 6#Osteoarthroses#Osteoarthrosis#Osteoarthrosis Deformans"
D010005,"Osteoarthropathy, Secondary Hypertrophic","Clubbed Finger#Clubbed Fingers#Disease, Marie-Bamberger#Finger, Clubbed#Fingers, Clubbed#Hypertrophic Osteoarthropathies, Secondary#Hypertrophic Osteoarthropathy, Secondary#Marie Bamberger Disease#Marie-Bamberger Disease#Osteoarthropathies, Secondary Hypertrophic#Secondary Hypertrophic Osteoarthropathies#Secondary Hypertrophic Osteoarthropathy"
D010007,Osteochondritis,Meniscitides#Meniscitis#Osteochondritides
D010009,Osteochondrodysplasias,"Chondrodystrophic Myotonia#Chondrodystrophy, Myotonic#Dyschondroplasia#Dyschondroplasias#Dysplasia, Spondyloepiphyseal#Endosteal Hyperostosis, Autosomal Recessive#Hyperostosis Corticalis Generalisata#Hyperphosphatasemia Tarda#Late Onset Spondyloepiphyseal Dysplasia#Late-Onset Spondyloepiphyseal Dysplasia#Late Spondyloepiphyseal Dysplasia#Melnick Needles Osteodysplasty#Melnick-Needles Osteodysplasty#Melnick Needles Syndrome#Melnick-Needles Syndrome#MNS#Multiple Epiphyseal Dysplasia#Myotonia, Chondrodystrophic#Myotonic Chondrodystrophy#Myotonic Myopathy, Dwarfism, Chondrodystrophy, And Ocular And Facial Abnormalities#Osteochondrodysplasia#Osteodysplasty, Melnick-Needles#Osteodysplasty of Melnick and Needles#Schwartz Jampel Aberfeld syndrome#Schwartz-Jampel-Aberfeld Syndrome#Schwartz Jampel Syndrome#Schwartz-Jampel Syndrome#Schwartz Jampel Syndrome, Type 1#Schwartz-Jampel Syndrome, Type 1#SEDT#SED Tarda#SED TARDA, X-LINKED#SEDT, X-Linked#SED, X-Linked#SJA Syndrome#SJS#SJS1#Sost-Related Sclerosing Bone Dysplasia#Sost Sclerosing Bone Dysplasia#Spondylo-Epimetaphyseal Dysplasia With Myotonia#Spondyloepiphyseal Dysplasia#Spondyloepiphyseal Dysplasia, Late#Spondyloepiphyseal Dysplasia, Late-Onset#Spondyloepiphyseal Dysplasia Tarda, X Linked#Spondyloepiphyseal Dysplasia Tarda, X-Linked#Syndrome, Schwartz-Jampel-Aberfeld#Van Buchem Disease#VBCH#X Linked SED#X-Linked SED#X Linked SEDT#X-Linked SEDT#X Linked Spondyloepiphyseal Dysplasia Tarda#X-Linked Spondyloepiphyseal Dysplasia Tarda"
D010014,Osteolysis,
D010018,Osteomalacia,"Adult Rickets#Rickets, Adult"
D010019,Osteomyelitis,
D010020,Osteonecrosis,"Aseptic Necrosis of Bone#Avascular Necrosis of Bone#Bone Aseptic Necrosis#Bone Avascular Necrosis#Bone Necroses#Bone Necrosis#Kienbock Disease#Kienbock's Disease#Kienboeck Disease#Kienboeck's Disease#Kienboecks Disease#Necroses, Bone#Necrosis, Aseptic, of Bone#Necrosis, Avascular, of Bone#Necrosis, Bone#Osteonecroses"
D010022,Osteopetrosis,"Albers Schoenberg Disease#Albers-Schoenberg Disease#Albers Schonberg Disease#Albers-Schonberg Disease#Albers Schönberg Disease#Albers-Schönberg Disease#Albers Schonberg Disease, Autosomal Dominant#Albers-Schonberg Disease, Autosomal Dominant#Autosomal Dominant Osteopetrosis Type 2#Congenital Osteopetrosis#Disease, Albers-Schoenberg#Disease, Albers-Schonberg#Disease, Albers-Schönberg#Disease, Marble Bone#Marble Bone Disease#Marble Bones, Autosomal Dominant#OPTA2#Osteopetroses#Osteopetrosis, Autosomal Dominant 2#Osteopetrosis Autosomal Dominant Type 2#Osteopetrosis, Autosomal Dominant, Type II#Osteosclerosis Fragilis#Osteosclerosis Fragilis Generalisata#Osteosclerosis Fragilis Generalisatas"
D010024,Osteoporosis,"Age-Related Bone Loss#Age-Related Bone Losses#Age-Related Osteoporoses#Age Related Osteoporosis#Age-Related Osteoporosis#BMND#BMND1#BMND16#Bone Loss, Age Related#Bone Loss, Age-Related#Bone Losses, Age-Related#BONE MINERAL DENSITY QUANTITATIVE TRAIT LOCUS#BONE MINERAL DENSITY QUANTITATIVE TRAIT LOCUS 1#BONE MINERAL DENSITY QUANTITATIVE TRAIT LOCUS 16#HBM, INCLUDED#HIGH BONE MASS, INCLUDED#Osteoporoses#Osteoporoses, Age-Related#Osteoporoses, Senile#Osteoporosis, Age Related#Osteoporosis, Age-Related#OSTEOPOROSIS, EARLY-ONSET, SUSCEPTIBILITY TO#Osteoporosis, Involutional#OSTEOPOROSIS, INVOLUTIONAL  FRACTURE, HIP, SUSCEPTIBILITY TO, INCLUDED#OSTEOPOROSIS, POSTMENOPAUSAL#Osteoporosis, Post Traumatic#Osteoporosis, Post-Traumatic#Osteoporosis, Senile#OSTEOPOROSIS, SUSCEPTIBILITY TO, INCLUDED#Post-Traumatic Osteoporoses#Post-Traumatic Osteoporosis#Senile Osteoporoses#Senile Osteoporosis"
D010026,Osteosclerosis,
D010031,Otitis,"Ear Infection#Ear Infections#Ear Inflammation#Ear Inflammations#Infection, Ear#Infections, Ear#Inflammation, Ear#Inflammations, Ear#Otitides"
D010032,Otitis Externa,"External Otitides#External Otitis#Externa, Otitis#Otitides, External#Otitis, External"
D010033,Otitis Media,"COME/ROM#Inflammation, Middle Ear#Middle Ear Inflammation#OMS#OTITIS MEDIA, CHRONIC/RECURRENT#OTITIS MEDIA, SUSCEPTIBILITY TO"
D010034,Otitis Media with Effusion,"Ear Effusion, Middle#Ear Effusions, Middle#Effusion, Middle Ear#Effusions, Middle Ear#Middle Ear Effusion#Middle Ear Effusions#Otitis Media, Secretory#Otitis Media, Serous#Secretory Otitis Media#Serous Otitis Media"
D010048,Ovarian Cysts,"Corpus Luteum Cyst#Corpus Luteum Cysts#Cyst, Corpus Luteum#Cyst, Ovarian#Cysts, Corpus Luteum#Cysts, Ovarian#Ovarian Cyst"
D010049,Ovarian Diseases,"Disease, Ovarian#Diseases, Ovarian#Ovarian Disease"
D010051,Ovarian Neoplasms,"Cancer of Ovary#Cancer of the Ovary#Cancer, Ovarian#Cancer, Ovary#Cancers, Ovarian#Cancers, Ovary#Neoplasm, Ovarian#Neoplasm, Ovary#Neoplasms, Ovarian#Neoplasms, Ovary#Ovarian Cancer#OVARIAN CANCER, EPITHELIAL, INCLUDED#Ovarian Cancers#OVARIAN CANCER, SUSCEPTIBILITY TO, 1#Ovarian Neoplasm#Ovary Cancer#Ovary Cancers#Ovary Neoplasm#Ovary Neoplasms#OVCAS1"
D010123,Oxyuriasis,Aspiculariases#Aspiculariasis#Oxyuriases
D010146,Pain,"Ache#Aches#Burning Pain#Burning Pains#Crushing Pain#Crushing Pains#Migratory Pain#Migratory Pains#Pain, Burning#Pain, Crushing#Pain, Migratory#Pain, Radiating#Pains, Burning#Pains, Crushing#Pains, Migratory#Pain, Splitting#Pains, Radiating#Pains, Splitting#Physical Suffering#Physical Sufferings#Radiating Pain#Radiating Pains#Splitting Pain#Splitting Pains#Suffering, Physical#Sufferings, Physical"
D010148,"Pain, Intractable","Intractable Pain#Intractable Pains#Pain, Refractory#Pains, Intractable#Pains, Refractory#Refractory Pain#Refractory Pains"
D010149,"Pain, Postoperative",Postoperative Pain#Postoperative Pains
D010167,Pallor,
D010182,Pancreatic Diseases,"Disease, Pancreatic#Diseases, Pancreatic#Pancreatic Disease"
D010190,Pancreatic Neoplasms,"Cancer of Pancreas#Cancer of the Pancreas#Cancer, Pancreas#Cancer, Pancreatic#Cancers, Pancreas#Cancers, Pancreatic#Neoplasm, Pancreas#Neoplasm, Pancreatic#Neoplasms, Pancreas#Neoplasms, Pancreatic#Pancreas Cancer#Pancreas Cancers#Pancreas Neoplasm#Pancreas Neoplasms#PANCREATIC ACINAR CARCINOMA#Pancreatic Cancer#Pancreatic Cancers#PANCREATIC CANCER, SUSCEPTIBILITY TO, 1#PANCREATIC CANCER, SUSCEPTIBILITY TO, 2#PANCREATIC CANCER, SUSCEPTIBILITY TO, 3#PANCREATIC CANCER, SUSCEPTIBILITY TO, 4#PANCREATIC CARCINOMA#Pancreatic Neoplasm#PNCA1#PNCA2#PNCA3#PNCA4"
D010192,Pancreatic Pseudocyst,"Pancreatic Pseudocysts#Pseudocyst, Pancreatic#Pseudocysts, Pancreatic"
D010195,Pancreatitis,
D010198,Pancytopenia,
D010202,Panophthalmitis,
D010211,Papilledema,"Choked Disk#Choked Disks#Decreased Intraocular Pressure Associated Papilledema#Decreased Intraocular Pressure-Associated Papilledema#Disk, Choked#Disks, Choked#Edema of the optic disc#Edema, Optic Disk#Edema, Optic Papilla#Edema, Retinal#Edemas, Optic Disk#Edemas, Retinal#Increased Intracranial Pressure Associated Papilledema#Increased Intracranial Pressure-Associated Papilledema#Optic Disk Edema#Optic Nerve Papillitis#Optic Papilla Edema#Optic Papillitis#Papilledema Associated with Decreased Intraocular Pressure#Papilledema Associated with Increased Intracranial Pressure#Papillitis#Papillitis, Optic#Papillitis, Optic Nerve#Retinal Edema#Retinal Edemas"
D010212,Papilloma,"Papillomas#Papilloma, Squamous Cell#Papillomas, Squamous Cell#Papillomatoses#Papillomatosis#Squamous Cell Papilloma#Squamous Cell Papillomas"
D010214,Papillon-Lefevre Disease,"Haim Monk Syndrome#Haim-Monk Syndrome#Keratosis Palmoplantaris with Periodontopathia#Keratosis Palmoplantar Periodontopathies#Keratosis Palmoplantar Periodontopathy#Palmoplantar Periodontopathies, Keratosis#PALS#Papillon Lefevre Disease#Papillon Lefevre Syndrome#Papillon-Lefevre Syndrome#PLS"
D010217,Phlebotomus Fever,Pappataci Fever#Pappataci Fevers#Phlebotomus Fevers#Sandfly Fever#Sandfly Fevers
D010229,Paracoccidioidomycosis,"Blastomyces brasiliensis Infection#Blastomyces brasiliensis Infections#Blastomycosis, South American#Granuloma, Paracoccidioidal#Granulomas, Paracoccidioidal#Infection, Blastomyces brasiliensis#Infection, Paracoccidioides brasiliensis#Infections, Blastomyces brasiliensis#Infections, Paracoccidioides brasiliensis#Paracoccidioidal Granuloma#Paracoccidioidal Granulomas#Paracoccidioides brasiliensis Infection#Paracoccidioides brasiliensis Infections#Paracoccidioidomycoses#South American Blastomycosis"
D010235,Paraganglioma,"CAROTID BODY TUMORS#CBT1#CHEMODECTOMAS#Gangliocytic Paraganglioma#Gangliocytic Paragangliomas#GLOMUS JUGULARE TUMORS#GLOMUS TUMORS, FAMILIAL, 1#PARAGANGLIOMA, CAROTID BODY#Paraganglioma, Gangliocytic#Paragangliomas#Paragangliomas 1#Paragangliomas, Familial, 1#PARAGANGLIOMAS, FAMILIAL NONCHROMAFFIN, 1 PARAGANGLIOMAS WITH SENSORINEURAL HEARING LOSS, INCLUDED#Paragangliomas, Gangliocytic#Paragangliomata#PGL#PGL1"
D010236,"Paraganglioma, Extra-Adrenal","Chemodectoma#Chemodectomas#Extra-Adrenal Paraganglioma#Extra-Adrenal Paragangliomas#Nonchromaffin Paraganglioma#Non-Chromaffin Paraganglioma#Nonchromaffin Paragangliomas#Non-Chromaffin Paragangliomas#Paraganglioma, Extra Adrenal#Paraganglioma, Nonchromaffin#Paraganglioma, Non Chromaffin#Paraganglioma, Non-Chromaffin#Paragangliomas, Extra-Adrenal#Paragangliomas, Familial Nonchromaffin, 1#Paragangliomas, Nonchromaffin#Paragangliomas, Non-Chromaffin"
D010243,Paralysis,"Palsies#Palsy#Paralyses#Paralysis, Todd#Paralysis, Todd's#Plegia#Plegias#Todd Paralysis#Todd's Paralysis#Todds Paralysis"
D010244,"Bulbar Palsy, Progressive","Bulbar Palsies#Bulbar Palsies, Progressive#Bulbar Palsy#Bulbar Palsy, Progressive, Of Childhood#Bulbar Paralyses#Bulbar Paralysis#Childhood Progressive Bulbar Palsy#Fazio Londe Disease#Fazio-Londe Disease#Fazio Londe Syndrome#Fazio-Londe Syndrome#Palsies, Bulbar#Palsies, Progressive Bulbar#Palsy, Bulbar#Palsy, Progressive Bulbar#Paralysis, Bulbar#Progressive Bulbar Palsies#Progressive Bulbar Palsy#Progressive Bulbar Palsy of Childhood"
D010246,"Paralysis, Obstetric","Obstetrical Paralyses#Obstetrical Paralysis#Obstetric Paralyses#Obstetric Paralysis#Paralyses, Obstetric#Paralyses, Obstetrical#Paralysis, Obstetrical"
D010254,Paranasal Sinus Diseases,"Disease, Paranasal Sinus#Diseases, Paranasal Sinus#Paranasal Sinus Disease#Sinus Disease, Paranasal#Sinus Diseases, Paranasal"
D010255,Paranasal Sinus Neoplasms,"Cancer of Paranasal Sinus#Cancer, Paranasal Sinus#Cancers, Paranasal Sinus#Neoplasm, Paranasal Sinus#Neoplasms, Paranasal Sinus#Paranasal Sinus Cancer#Paranasal Sinus Cancers#Paranasal Sinus Neoplasm"
D010257,Paraneoplastic Syndromes,"Paraneoplastic Syndrome#Syndrome, Paraneoplastic#Syndromes, Paraneoplastic"
D010259,Paranoid Disorders,"Disorder, Paranoid#Disorders, Paranoid#Paranoia#Paranoias#Paranoid Disorder#Paranoid Psychoses#Psychoses, Paranoid"
D010262,Paraphilic Disorders,"Deviation, Sex#Deviations, Sex#Disorder, Paraphilic#Disorders, Paraphilic#Paraphilia#Paraphilias#Paraphilic Disorder#Sex Deviation#Sex Deviations"
D010264,Paraplegia,"Ataxic Paraplegia#Ataxic Paraplegias#Cerebral Paraplegia#Cerebral Paraplegias#Flaccid Paraplegia#Flaccid Paraplegias#Paralysis, Legs#Paralysis, Lower Extremities#Paralysis, Lower Limbs#Paraplegia, Ataxic#Paraplegia, Cerebral#Paraplegia, Flaccid#Paraplegias#Paraplegias, Ataxic#Paraplegias, Cerebral#Paraplegias, Flaccid#Paraplegia, Spastic#Paraplegia, Spinal#Paraplegias, Spastic#Paraplegias, Spinal#Spastic Paraplegia#Spastic Paraplegias#Spinal Paraplegia#Spinal Paraplegias"
D010265,Paraproteinemias,"Cell Dyscrasia, Plasma#Cell Dyscrasias, Plasma#Dyscrasia, Plasma Cell#Dyscrasias, Plasma Cell#Gammapathies, Monoclonal#Gammapathy, Monoclonal#Gammopathies, Monoclonal#Gammopathy, Monoclonal#Monoclonal Gammapathies#Monoclonal Gammapathy#Monoclonal Gammopathies#Monoclonal Gammopathy#Paraimmunoglobulinemia#Paraimmunoglobulinemias#Paraproteinemia#Plasma Cell Dyscrasia#Plasma Cell Dyscrasias"
D010267,Parapsoriasis,"Dermatoses, Digitate#Dermatosis, Digitate#Digitate Dermatoses#Digitate Dermatosis#Erythroderma, Maculopapular#Erythrodermas, Maculopapular#Maculopapular Erythroderma#Maculopapular Erythrodermas#Parakeratosis Variegata#Parapsoriases#Parapsoriasis en Plaque#Parapsoriasis en Plaques"
D010272,Parasitic Diseases,"Disease, Parasitic#Diseases, Parasitic#Infection, Parasite#Infection, Parasitic#Infections, Parasite#Infections, Parasitic#Parasite Infection#Parasite Infections#Parasitic Disease#Parasitic Infection#Parasitic Infections"
D010273,"Parasitic Diseases, Animal","Animal Parasitic Disease#Animal Parasitic Diseases#Animal Parasitic Infection#Animal Parasitic Infections#Disease, Animal Parasitic#Diseases, Animal Parasitic#Infection, Animal Parasitic#Infections, Animal Parasitic#Parasitic Disease, Animal#Parasitic Infection, Animal#Parasitic Infections, Animal"
D010279,Parathyroid Diseases,"Disease, Parathyroid#Diseases, Parathyroid#Disorder, Parathyroid#Disorders, Parathyroid#Parathyroid Disease#Parathyroid Disorder#Parathyroid Disorders"
D010282,Parathyroid Neoplasms,"Adenoma, Parathyroid#Adenomas, Parathyroid#Cancer of Parathyroid#Cancer of the Parathyroid#Cancer, Parathyroid#Cancers, Parathyroid#Carcinoma, Parathyroid#Carcinomas, Parathyroid#Neoplasm, Parathyroid#Neoplasms, Parathyroid#Parathyroid Adenoma#Parathyroid Adenomas#Parathyroid Cancer#Parathyroid Cancers#Parathyroid Carcinoma#Parathyroid Carcinomas#Parathyroid Neoplasm#PRTC"
D010291,Paresis,"Brachial Pareses#Brachial Paresis#Crural Pareses#Crural Paresis#Extremity Pareses, Lower#Extremity Pareses, Upper#Extremity Paresis, Lower#Extremity Paresis, Upper#Hemipareses#Hemiparesis#Lower Extremity Pareses#Lower Extremity Paresis#Monopareses#Monoparesis#Muscle Pareses#Muscle Paresis#Muscular Pareses#Muscular Paresis#Pareses#Pareses, Brachial#Pareses, Crural#Pareses, Lower Extremity#Pareses, Muscle#Pareses, Muscular#Pareses, Upper Extremity#Paresis, Brachial#Paresis, Crural#Paresis, Lower Extremity#Paresis, Muscle#Paresis, Muscular#Paresis, Upper Extremity#Upper Extremity Pareses#Upper Extremity Paresis"
D010292,Paresthesia,"Distal Paresthesia#Distal Paresthesias#Dysesthesia#Dysesthesias#Formication#Formications#Painful Paresthesia#Painful Paresthesias#Paresthesia, Distal#Paresthesia, Painful#Paresthesias#Paresthesias, Distal#Paresthesias, Painful"
D010300,Parkinson Disease,"Idiopathic Parkinson Disease#Idiopathic Parkinson's Disease#Lewy Body Parkinson Disease#Lewy Body Parkinson's Disease#Paralysis Agitans#Parkinson Disease, Idiopathic#Parkinsonism, Primary#Parkinson's Disease#Parkinson's Disease, Idiopathic#Parkinson's Disease, Lewy Body#Primary Parkinsonism"
D010302,"Parkinson Disease, Secondary","Atherosclerotic Parkinsonism#Parkinson Disease, Secondary Vascular#Parkinson Disease, Symptomatic#Parkinsonism, Atherosclerotic#Parkinsonism, Secondary#Parkinsonism, Symptomatic#Secondary Parkinson Disease#Secondary Parkinsonism#Secondary Vascular Parkinson Disease#Symptomatic Parkinson Disease#Symptomatic Parkinsonism"
D010304,Paronychia,
D010307,Parotid Neoplasms,"Cancer of Parotid#Cancer of the Parotid#Cancer, Parotid#Cancers, Parotid#Neoplasm, Parotid#Neoplasms, Parotid#Parotid Cancer#Parotid Cancers#Parotid Neoplasm"
D010309,Parotitis,Parotiditides#Parotiditis#Parotitides
D010310,Parovarian Cyst,"Cyst, Paratubal#Cyst, Parovarian#Cysts, Paratubal#Cysts, Parovarian#Hydatid Cyst of Morgagni#Hydatid of Morgagni#Morgagni Hydatid#Morgagni Hydatid Cyst#Morgagni Hydatid Cysts#Morgagni Hydatids#Paratubal Cyst#Paratubal Cysts#Parovarian Cysts"
D010373,Lice Infestations,"Infestation, Lice#Infestations, Lice#Lice Infestation#Pediculoses#Pediculosis"
D010382,Peliosis Hepatis,
D010383,Pellagra,
D010390,"Pemphigoid, Benign Mucous Membrane","Benign Mucosal Pemphigoid#Benign Mucosal Pemphigoids#Benign Mucous Membrane Pemphigoid#Cicatricial Pemphigoid#Cicatricial Pemphigoid, Ocular#Cicatricial Pemphigoids, Ocular#Mucosal Pemphigoid, Benign#Mucosal Pemphigoids, Benign#Mucous Membrane Pemphigoid, Benign#Ocular Cicatricial Pemphigoid#Ocular Cicatricial Pemphigoids#Pemphigoid, Benign Mucosal#Pemphigoid, Cicatricial#Pemphigoid, Ocular Cicatricial#Pemphigoids, Benign Mucosal#Pemphigoids, Ocular Cicatricial"
D010391,"Pemphigoid, Bullous",Bullous Pemphigoid#Pemphigoid#Pemphigoids
D010392,Pemphigus,"Foliaceus, Pemphigus#Pemphigus Foliaceus#Pemphigus Vulgaris"
D010409,Penile Diseases,"Disease, Penile#Disease, Penis#Diseases, Penile#Diseases, Penis#Penile Disease#Penis Disease#Penis Diseases"
D010411,Penile Induration,"Cavernitides, Fibrous#Cavernitis, Fibrous#Fibromatosis, Penile#Fibrous Cavernitides#Fibrous Cavernitis#Penile Fibromatosis#Peyronie Disease#Peyronie's Disease#Peyronies Disease#Plastic Induration of the Penis"
D010412,Penile Neoplasms,"Cancer of Penis#Cancer of the Penis#Cancer, Penile#Cancer, Penis#Cancers, Penile#Cancers, Penis#Neoplasm, Penile#Neoplasm, Penis#Neoplasms, Penile#Neoplasms, Penis#Penile Cancer#Penile Cancers#Penile Neoplasm#Penis Cancer#Penis Cancers#Penis Neoplasm#Penis Neoplasms"
D010437,Peptic Ulcer,"Gastroduodenal Ulcer#Gastroduodenal Ulcers#Marginal Ulcer#Marginal Ulcers#Peptic Ulcers#Ulcer, Gastroduodenal#Ulcer, Marginal#Ulcer, Peptic#Ulcers, Gastroduodenal#Ulcers, Marginal#Ulcers, Peptic"
D010438,Peptic Ulcer Hemorrhage,"Hemorrhage, Peptic Ulcer#Peptic Ulcer Hemorrhages#Ulcer Hemorrhage, Peptic"
D010439,Peptic Ulcer Perforation,"Peptic Ulcer Perforations#Perforation, Peptic Ulcer#Perforations, Peptic Ulcer#Ulcer Perforation, Peptic#Ulcer Perforations, Peptic"
D010468,Perceptual Disorders,"Discrimination Disorder, Somatosensory#Discrimination Disorders, Somatosensory#Hemisensory Neglect#Hemisensory Neglects#Hemispatial Neglect#Hemispatial Neglects#Neglect, Hemisensory#Neglect, Hemispatial#Neglect, Sensory#Neglects, Hemisensory#Perceptual Disorder#Sensory Neglect#Sensory Neglects#Somatosensory Discrimination Disorder#Somatosensory Discrimination Disorders"
D010488,Polyarteritis Nodosa,"Arteritides, Necrotizing#Arteritis, Necrotizing#Essential Polyarteritides#Essential Polyarteritis#Necrotizing Arteritides#Necrotizing Arteritis#Periarteritis Nodosa#Polyarteritides, Essential#Polyarteritis, Essential"
D010490,Pericardial Effusion,"Chylopericardium#Chylopericardiums#Effusion, Pericardial#Effusions, Pericardial#Hemopericardium#Pericardial Effusions"
D010493,Pericarditis,
D010494,"Pericarditis, Constrictive","Constrictive Pericarditides#Constrictive Pericarditis#Heart Pick's Disease#Pericarditides, Constrictive#Pick Disease, Heart#Pick Disease of Heart#Picks Disease, Heart#Pick's Disease of Heart"
D010505,Familial Mediterranean Fever,"Benign Paroxysmal Peritonitides#Benign Paroxysmal Peritonitis#Disease, Periodic#Diseases, Periodic#Disease, Wolff Periodic#Disease, Wolff's Periodic#Familial Mediterranean Fever, Autosomal Recessive#Familial Paroxysmal Polyserositides#Familial Paroxysmal Polyserositis#FMF#Mediterranean Fever, Familial#Paroxysmal Peritonitides, Benign#Paroxysmal Peritonitis, Benign#Paroxysmal Polyserositides, Familial#Paroxysmal Polyserositis, Familial#Periodic Disease#Periodic Diseases#Periodic Disease, Wolff#Periodic Disease, Wolffs#Periodic Disease, Wolff's#Periodic Peritonitides#Periodic Peritonitis#Peritonitides, Benign Paroxysmal#Peritonitides, Periodic#Peritonitis, Benign Paroxysmal#Peritonitis, Periodic#Polyserositides, Familial Paroxysmal#Polyserositides, Recurrent#Polyserositis, Familial Paroxysmal#Polyserositis, Recurrent#Recurrent Polyserositides#Recurrent Polyserositis#Wolff Periodic Disease#Wolff's Periodic Disease#Wolffs Periodic Disease"
D010510,Periodontal Diseases,"Disease, Periodontal#Diseases, Periodontal#Parodontoses#Parodontosis#Periodontal Disease#Pyorrhea Alveolaris"
D010518,Periodontitis,Pericementitides#Pericementitis#Periodontitides
D010520,Aggressive Periodontitis,"Circumpubertal Periodontitis#Early-Onset Periodontitis#JP#JPD#Juvenile Periodontitis#Periodontitis, Aggressive#Periodontitis, Aggressive, 1#Periodontitis, Circumpubertal#Periodontitis, Juvenile#Periodontitis, Prepubertal#Periodontoses#Periodontosis#PPP#Prepubertal Periodontitis"
